"estado","candidato","votos","ano","turno","nome","porcentagem"
"Mato Grosso","Geraldo Alckmin",719984,2006,"Turno 2","2006 - Geraldo Alckmin",50.31
"Goiás","Geraldo Alckmin",1226011,2006,"Turno 2","2006 - Geraldo Alckmin",45.22
"Distrito Federal","Geraldo Alckmin",578137,2006,"Turno 2","2006 - Geraldo Alckmin",43.04
"Rondônia","Luiz Inácio Lula da Silva",329598,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",45.06
"Acre","Luiz Inácio Lula da Silva",133221,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",42.61
"Amazonas","Luiz Inácio Lula da Silva",1070656,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",78.05
"Roraima","Luiz Inácio Lula da Silva",49433,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",26.14
"Pará","Luiz Inácio Lula da Silva",1631569,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",51.78
"Amapá","Luiz Inácio Lula da Silva",160675,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",54.39
"Tocantins","Luiz Inácio Lula da Silva",392151,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",58.62
"Maranhão","Luiz Inácio Lula da Silva",2128103,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",75.49
"Piauí","Luiz Inácio Lula da Silva",1055600,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",67.27
"Ceará","Luiz Inácio Lula da Silva",2852895,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",71.21
"R. G. do Norte","Luiz Inácio Lula da Silva",952796,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",60.16
"Paraíba","Luiz Inácio Lula da Silva",1258341,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",65.3
"Pernambuco","Luiz Inácio Lula da Silva",2993618,2006,"Turno 1","2006 - Luiz Inácio Lula da Silva",70.92
